db_exercise_name,exercise_id
dumbbell skull crusher,1
Cable Triceps Extension,2
Seated Machine Curl (Kg),3
Dumbbell Hammer Curl,4
Lat Pulldown,5
Seated Machine Fly,6
Flat Dumbbell Bench Press,7
Reverse Cable Curls,8
Incline Dumbbell Bench Press,9
Smith Machine Shrugs,10
Lateral Dumbbell Raise,11
Machine Wrist Extension,12
Rear Delt Machine Fly,13
Decline Dumbbell Bench Press,14
Leg Extension Machine,15
Behind The Back Wrist Curls,16
Hamstring Curls Machine,17
Seated Narrow V Shaped Row,18
Narrow Reverse Grip Lat Pulldown,19
Barbell Upright Row,20
Cable Curl,21
Wide Grip Cable Row,22
Seated Dumbbell Press,23
Sumo Squats,24
Reverse Grip Lat Pulldown,25
Barbell Curl,26
Dumbbell Pullover,27
Leg Press,28
Walking,29
Overhead Press,30
Deadlift,31
Reverse Zig Zag Barbell Curls,32
Farmers Walk,33
Dumbbell Squats,34
Smith Machine Press,35
Hand Gripper,36
Cable Face Pull,37
T Bar Barbell Row,38
Dumbbell Curl,39
Narrow V Shaped Vertical Lat Pulldown,40
Decline Smith Machine Press,41
Smith Machine Squats,42
Barbell Calf Raise,43
Incline Smith Machine Press,44
Single Hand Dumbbell Row,45
Close Grip Smith Machine Bench Press,46
EZ-Bar Curl,47
Cycling,48
Treadmill,49
Front Dumbbell Raise,50
Dumbell Wrist Curls,51
Dumbbell Shrugs,52
Dumbbell Hold,53
Dead Hang,54
Barbell Row,55
Pull Up,56
Machine Press,57
Lying Hip Thrust,58
Cable Overhead Triceps Extension,59
Cable Lat Pull With Ez Bar,60
BHB lateral Raises,61
Assisted Pull Ups,62
Decline Barbell Bench Press,63
Pushups,64
Flat Barbell Bench Press,65
Calf Raises,66
Cable Lateral Raises,67
Ab-Wheel Rollout,68
Cable Crunch,69
Crunch,70
Crunch Machine,71
Decline Crunch,72
Dragon Flag,73
Hanging Knee Raise,74
Hanging Leg Raise,75
Plank,76
Side Plank,77
